time,open,high,low,close,volume
2025-09-01T18:35:00.000Z,1433500,1433650,1433350,1433500,1668
2025-09-01T18:36:00.000Z,1433550,1433700,1433300,1433450,1062
2025-09-01T18:37:00.000Z,1433450,1433450,1433150,1433250,1132
2025-09-01T18:38:00.000Z,1433200,1433250,1432800,1432950,1818
2025-09-01T18:39:00.000Z,1432900,1433200,1432800,1433150,854
2025-09-01T18:40:00.000Z,1433100,1433300,1433050,1433100,1206
2025-09-01T18:41:00.000Z,1433050,1433300,1433000,1433250,673
2025-09-01T18:42:00.000Z,1433250,1433400,1433150,1433350,903
2025-09-01T18:43:00.000Z,1433350,1433500,1433200,1433450,703
2025-09-01T18:44:00.000Z,1433450,1433550,1433300,1433400,1018
2025-09-01T18:45:00.000Z,1433350,1433800,1433250,1433400,1981
2025-09-01T18:46:00.000Z,1433400,1433700,1433300,1433650,1039
2025-09-01T18:47:00.000Z,1433700,1433700,1433450,1433500,757
2025-09-01T18:48:00.000Z,1433550,1433550,1433300,1433400,753
2025-09-01T18:49:00.000Z,1433400,1433450,1433200,1433300,642
2025-09-01T18:50:00.000Z,1433350,1433400,1430350,1431650,8636
2025-09-01T18:51:00.000Z,1431600,1431950,1431400,1431700,3165
2025-09-01T18:52:00.000Z,1431650,1432100,1431600,1431900,2281
2025-09-01T18:53:00.000Z,1431850,1431950,1431800,1431950,839
2025-09-01T18:54:00.000Z,1431900,1432300,1431850,1432250,1424
2025-09-01T18:55:00.000Z,1432200,1432600,1432000,1432500,3108
2025-09-01T18:56:00.000Z,1432500,1432950,1432300,1432650,2429
2025-09-01T18:57:00.000Z,1432650,1432950,1432650,1432850,1514
2025-09-01T18:58:00.000Z,1432900,1433100,1432750,1433000,1423
2025-09-01T18:59:00.000Z,1432950,1433300,1432750,1433200,1710
2025-09-01T19:00:00.000Z,1433200,1433350,1432900,1433250,1715
2025-09-01T19:01:00.000Z,1433250,1433250,1432900,1432950,1217
2025-09-01T19:02:00.000Z,1432950,1432950,1432350,1432550,3008
2025-09-01T19:03:00.000Z,1432550,1432650,1432350,1432550,1329
2025-09-01T19:04:00.000Z,1432550,1432650,1432450,1432550,700
2025-09-01T19:05:00.000Z,1432550,1432750,1432350,1432600,826
2025-09-01T19:06:00.000Z,1432600,1432700,1432400,1432550,633
2025-09-01T19:07:00.000Z,1432550,1433000,1432500,1432750,1100
2025-09-01T19:08:00.000Z,1432700,1432800,1432600,1432650,420
2025-09-01T19:09:00.000Z,1432600,1433050,1432600,1432850,866
2025-09-01T19:10:00.000Z,1432850,1432950,1432650,1432950,666
2025-09-01T19:11:00.000Z,1432950,1433450,1432900,1433350,2746
2025-09-01T19:12:00.000Z,1433400,1433600,1433250,1433450,1961
2025-09-01T19:13:00.000Z,1433450,1433550,1433350,1433450,752
2025-09-01T19:14:00.000Z,1433450,1433500,1433150,1433400,965
2025-09-01T19:15:00.000Z,1433400,1433550,1433250,1433550,815
2025-09-01T19:16:00.000Z,1433550,1433750,1433450,1433550,1545
2025-09-01T19:17:00.000Z,1433550,1433700,1433300,1433450,929
2025-09-01T19:18:00.000Z,1433500,1433600,1433250,1433350,745
2025-09-01T19:19:00.000Z,1433400,1433450,1432850,1433100,1679
2025-09-01T19:20:00.000Z,1433050,1433300,1432800,1432900,1483
2025-09-01T19:21:00.000Z,1432950,1433050,1432850,1433000,682
2025-09-01T19:22:00.000Z,1433050,1433200,1433000,1433150,705
2025-09-01T19:23:00.000Z,1433100,1433350,1433100,1433100,1038
2025-09-01T19:24:00.000Z,1433100,1433350,1433100,1433300,524
2025-09-01T19:25:00.000Z,1433300,1433500,1433250,1433400,1026
2025-09-01T19:26:00.000Z,1433400,1433750,1433400,1433700,1292
2025-09-01T19:27:00.000Z,1433750,1433850,1433600,1433650,1632
2025-09-01T19:28:00.000Z,1433650,1433850,1433550,1433800,644
2025-09-01T19:29:00.000Z,1433850,1433900,1433700,1433750,724
2025-09-01T19:30:00.000Z,1433800,1433850,1433500,1433550,1488
2025-09-01T19:31:00.000Z,1433600,1433600,1432850,1433100,3368
2025-09-01T19:32:00.000Z,1433100,1433300,1433000,1433200,1034
2025-09-01T19:33:00.000Z,1433250,1433450,1433050,1433200,980
2025-09-01T19:34:00.000Z,1433200,1433350,1433150,1433250,453
2025-09-01T19:35:00.000Z,1433300,1433400,1433150,1433200,588
2025-09-01T19:36:00.000Z,1433250,1433450,1433150,1433250,733
2025-09-01T19:37:00.000Z,1433200,1433300,1433150,1433250,439
2025-09-01T19:38:00.000Z,1433200,1433300,1433150,1433200,290
2025-09-01T19:39:00.000Z,1433250,1433600,1433250,1433500,979
2025-09-01T19:40:00.000Z,1433500,1433600,1433400,1433450,809
2025-09-01T19:41:00.000Z,1433450,1433750,1433400,1433750,808
2025-09-01T19:42:00.000Z,1433750,1434300,1433550,1433900,3364
2025-09-01T19:43:00.000Z,1433900,1434300,1433900,1434100,1790
2025-09-01T19:44:00.000Z,1434050,1434100,1433850,1434000,878
2025-09-01T19:45:00.000Z,1433950,1434050,1433750,1433850,1092
2025-09-01T19:46:00.000Z,1433850,1434650,1433850,1434500,2360
2025-09-01T19:47:00.000Z,1434500,1434750,1434300,1434450,2480
2025-09-01T19:48:00.000Z,1434500,1434500,1434250,1434400,1025
2025-09-01T19:49:00.000Z,1434350,1434600,1434300,1434450,814
2025-09-01T19:50:00.000Z,1434400,1434500,1433800,1434050,1954
2025-09-01T19:51:00.000Z,1434050,1434200,1433750,1434150,1455
2025-09-01T19:52:00.000Z,1434150,1434450,1434050,1434450,1191
2025-09-01T19:53:00.000Z,1434400,1434650,1434200,1434450,1697
2025-09-01T19:54:00.000Z,1434450,1434500,1434150,1434300,927
2025-09-01T19:55:00.000Z,1434300,1434750,1434200,1434550,1453
2025-09-01T19:56:00.000Z,1434500,1434950,1434400,1434800,2393
2025-09-01T19:57:00.000Z,1434800,1435000,1434650,1434850,1459
2025-09-01T19:58:00.000Z,1434900,1434950,1434650,1434650,993
2025-09-01T19:59:00.000Z,1434650,1434950,1434600,1434800,920
2025-09-01T20:00:00.000Z,1434800,1435600,1434600,1435350,6383
2025-09-01T20:01:00.000Z,1435350,1435500,1435300,1435450,1388
2025-09-01T20:02:00.000Z,1435400,1435900,1435250,1435700,2978
2025-09-01T20:03:00.000Z,1435650,1435850,1435550,1435750,1335
2025-09-01T20:04:00.000Z,1435750,1435900,1435550,1435600,1394
2025-09-01T20:05:00.000Z,1435600,1435850,1435500,1435650,1386
2025-09-01T20:06:00.000Z,1435600,1435900,1435550,1435650,983
2025-09-01T20:07:00.000Z,1435650,1435850,1435550,1435850,906
2025-09-01T20:08:00.000Z,1435800,1435850,1435300,1435500,1321
